,0
zydh_tfidf_fea5,0.1452360768235412
zhdh_jdbj0_jyrq_date_ptp,0.14312547247558474
zhdh_jdbj0_jyrq_date_median,0.14286074156818876
last20trade_hours,0.14279236151777477
zydh_w2v_fea6,0.14248004670174244
zydh_ratio_sum,0.14123947923357738
zhdh_jdbj1_jyrq_dayofyear_min,0.14118901366961228
zydh_ratio_min,0.14048214962022212
zhdh_jdbj0_jyrq_day_median,0.13982006508912376
p(jyqd|flag)_mean_lag=1,0.13915710079280658
zydh_w2v_fea10,0.13884711925652132
jyqd_jyrq_ratio_std,0.13657017445391514
dfzh_ratio_std,0.13584750416965613
zhdh_jdbj1_jyrq_is_month_start_mean,0.13527181608335748
zhdh_jdbj1_jyrq_weekofyear_mean,0.13519293746366198
most_day,0.13497892470420597
zhdh_jdbj0_jyje_min,0.1346530468517657
zhdh_jdbj1_jyrq_hour_max,0.13379270359960257
zhdh_jdbj0_dfmccd_mean,0.13359016894223766
is_month_start_ratio_mean,0.13332472596011402
jyqd_w2v_fea7,0.13058853333973663
zhdh_jdbj0_jyje_sum,0.12949009020686392
zhdh_jdbj0_zhye_max,0.1273684820551633
jdbj0_most_month,0.12714745715502626
zydh_jyje_label_ratio_std,0.12689761666356283
zydh_jyqd_ratio_max,0.1253233665780833
weekofyear_ratio_sum,0.12525163937161568
jyqd_w2v_fea0,0.12312156217565297
most_jyje_label,0.12309546799102482
jyqd_tfidf_fea6,0.12226577571950836
zydh_w2v_fea14,0.12117923041798018
zhdh_jdbj1_dfzh_count,0.12055830493701292
zydh_w2v_fea9,0.1194896286411406
zhdh_jdbj1_jyrq_minu_ptp,0.11920968857166038
jyje_label_2,0.11902818091936615
zydh_jyqd_ratio_std,0.11886912256644723
jyqd_w2v_fea10,0.11859100109251773
p(jyqd|flag)_sum_lag=0,0.11759690167875599
jdbj0_most_dfhh,0.115991833294465
jdbj0_most_jyje_jyje_label,0.11559423531041375
jyqd_tfidf_fea3,0.11539705193089062
jyqd_ratio_sum,0.11467981972240471
zhdh_jdbj0_dfzh_count,0.11448038596025464
zhdh_jdbj1_jyje_std,0.11445914415315461
most_jyje_hour,0.11442983896670254
jdbj1_most_jyje_weekofyear,0.1139588749419549
zhdh_jdbj0_jyrq_minu_max,0.1130941260300454
jdbj0_most_jyje_day,0.11237617154026291
zhdh_jdbj1_jyqd_nunique,0.11190661379380405
zhdh_jdbj1_zhye_sum,0.11077080711337124
jyqd_tfidf_fea7,0.10917691167956534
jdbj0_most_minu,0.10863636500001475
is_month_end_ratio_mean,0.1079163934996804
dayofweek_ratio_sum,0.10783253486019315
zhdh_jdbj0_jyje_sample_entropy,0.10722513035460905
zhdh_jdbj0_jyrq_day_mean,0.10633956819454753
zhdh_jdbj0_zydh_nunique,0.10628652303207184
